,models,Datasets/autoencoder_dataset,Datasets/CLA-SubjectJ-170504-3St-LRHand-Inter,Datasets/CLA-SubjectJ-170508-3St-LRHand-Inter,Datasets/CLA-SubjectJ-170510-3St-LRHand-Inter
0,SVM,0.9990740740740741,0.9972222222222222,0.9986111111111111,0.9680555555555556
1,Decision_tree,1.0,1.0,1.0,1.0
2,rforest,1.0,1.0,1.0,1.0
3,AdaBoost,1.0,1.0,1.0,1.0
4,Bagging,0.999537037037037,1.0,1.0,1.0
5,gaussianNB_ml,0.8875,0.6888888888888889,0.7625,0.6888888888888889
6,bernoulliNB_ml,0.4300925925925926,0.7680555555555556,0.7513888888888889,0.7722222222222223
7,MLP_ml,0.9851851851851852,1.0,1.0,1.0
8,QDA_ml,0.5106481481481482,0.9986111111111111,0.9944444444444445,1.0
9,KNN_ml,1.0,0.9930555555555556,0.9972222222222222,0.9861111111111112
